$$ Transaction 0 $$
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanExtractor_53081ec0] [extractData] [Average Execution Time:0.5608] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanExtractor_53081ec0] [createDataCacheEntry] [Average Execution Time:0.00026] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [-init-] [Average Execution Time:0.00009] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [setDataForINVENTORYID] [Average Execution Time:0.00002] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [setDataForNAME] [Average Execution Time:0.00002] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [setDataForHEADING] [Average Execution Time:0.00002] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [setDataForDESCRIPTION] [Average Execution Time:0.00002] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [setDataForPKGINFO] [Average Execution Time:0.00002] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [setDataForIMAGE] [Average Execution Time:0.00002] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [setDataForIMGBYTES] [Average Execution Time:0.00004] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [setDataForPRICE] [Average Execution Time:0.00002] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [setDataForCOST] [Average Execution Time:0.00002] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [setDataForCATEGORY] [Average Execution Time:0.00002] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [setDataForQUANTITY] [Average Execution Time:0.00002] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [setDataForNOTES] [Average Execution Time:0.00003] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [setDataForISPUBLIC] [Average Execution Time:0.00002] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [setDataForMINTHRESHOLD] [Average Execution Time:0.00002] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [setDataForMAXTHRESHOLD] [Average Execution Time:0.00002] 
[com/ibm/websphere/samples/plantsbywebsphereejb/InventoryKey] [hashCode] [Average Execution Time:0.00003] 
[com/ibm/websphere/samples/plantsbywebsphereejb/InventoryKey] [equals] [Average Execution Time:0.00005] 
[com/ibm/websphere/samples/plantsbywebsphereejb/ConcreteInventory_53081ec0] [ejbActivate] [Average Execution Time:0.0002] 
[com/ibm/websphere/samples/plantsbywebsphereejb/InventoryBean] [ejbActivate] [Average Execution Time:0.00015] 
[com/ibm/websphere/samples/plantsbywebsphereejb/ConcreteInventory_53081ec0] [ejbLoad] [Average Execution Time:0.00041] 
[com/ibm/websphere/samples/plantsbywebsphereejb/InventoryKey] [equals] [Average Execution Time:0.00002] 
[com/ibm/websphere/samples/plantsbywebsphereejb/InventoryKey] [equals] [Average Execution Time:0.00002] 
[com/ibm/websphere/samples/plantsbywebsphereejb/ConcreteInventory_53081ec0] [hydrate] [Average Execution Time:0.00005] 
[com/ibm/websphere/samples/plantsbywebsphereejb/InventoryBean] [ejbLoad] [Average Execution Time:0.00002] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanExtractor_53081ec0] [extractPrimaryKey] [Average Execution Time:0.00012] 
[com/ibm/websphere/samples/plantsbywebsphereejb/InventoryKey] [-init-] [Average Execution Time:0.00002] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanExtractor_53081ec0] [extractData] [Average Execution Time:0.31318] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanExtractor_53081ec0] [createDataCacheEntry] [Average Execution Time:0.00007] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [-init-] [Average Execution Time:0.00003] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [setDataForINVENTORYID] [Average Execution Time:0.00002] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [setDataForNAME] [Average Execution Time:0.00002] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [setDataForHEADING] [Average Execution Time:0.00002] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [setDataForDESCRIPTION] [Average Execution Time:0.00002] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [setDataForPKGINFO] [Average Execution Time:0.00002] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [setDataForIMAGE] [Average Execution Time:0.00002] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [setDataForIMGBYTES] [Average Execution Time:0.00003] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [setDataForPRICE] [Average Execution Time:0.00002] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [setDataForCOST] [Average Execution Time:0.00002] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [setDataForCATEGORY] [Average Execution Time:0.00002] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [setDataForQUANTITY] [Average Execution Time:0.00001] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [setDataForNOTES] [Average Execution Time:0.00002] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [setDataForISPUBLIC] [Average Execution Time:0.00002] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [setDataForMINTHRESHOLD] [Average Execution Time:0.00001] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [setDataForMAXTHRESHOLD] [Average Execution Time:0.00001] 
[com/ibm/websphere/samples/plantsbywebsphereejb/InventoryKey] [hashCode] [Average Execution Time:0.00002] 
[com/ibm/websphere/samples/plantsbywebsphereejb/InventoryKey] [equals] [Average Execution Time:0.00004] 
[com/ibm/websphere/samples/plantsbywebsphereejb/ConcreteInventory_53081ec0] [ejbActivate] [Average Execution Time:0.00007] 
[com/ibm/websphere/samples/plantsbywebsphereejb/InventoryBean] [ejbActivate] [Average Execution Time:0.00002] 
[com/ibm/websphere/samples/plantsbywebsphereejb/ConcreteInventory_53081ec0] [ejbLoad] [Average Execution Time:0.00045] 
[com/ibm/websphere/samples/plantsbywebsphereejb/InventoryKey] [equals] [Average Execution Time:0.00002] 
[com/ibm/websphere/samples/plantsbywebsphereejb/InventoryKey] [equals] [Average Execution Time:0.00002] 
[com/ibm/websphere/samples/plantsbywebsphereejb/ConcreteInventory_53081ec0] [hydrate] [Average Execution Time:0.00004] 
[com/ibm/websphere/samples/plantsbywebsphereejb/InventoryBean] [ejbLoad] [Average Execution Time:0.00001] 
[com/ibm/websphere/samples/plantsbywebsphereejb/StoreItem] [-init-] [Average Execution Time:0.01505] 
[com/ibm/websphere/samples/plantsbywebsphereejb/EJSLocalCMPInventory_53081ec0] [getID] [Average Execution Time:0.00139] 
[com/ibm/websphere/samples/plantsbywebsphereejb/InventoryBean] [getID] [Average Execution Time:0.00007] 
[com/ibm/websphere/samples/plantsbywebsphereejb/ConcreteInventory_53081ec0] [getInventoryID] [Average Execution Time:0.00005] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [getInventoryID] [Average Execution Time:0.00002] 
[com/ibm/websphere/samples/plantsbywebsphereejb/EJSLocalCMPInventory_53081ec0] [getName] [Average Execution Time:0.00124] 
[com/ibm/websphere/samples/plantsbywebsphereejb/ConcreteInventory_53081ec0] [getName] [Average Execution Time:0.00005] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [getName] [Average Execution Time:0.00002] 
[com/ibm/websphere/samples/plantsbywebsphereejb/EJSLocalCMPInventory_53081ec0] [getHeading] [Average Execution Time:0.00116] 
[com/ibm/websphere/samples/plantsbywebsphereejb/ConcreteInventory_53081ec0] [getHeading] [Average Execution Time:0.00005] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [getHeading] [Average Execution Time:0.00002] 
[com/ibm/websphere/samples/plantsbywebsphereejb/EJSLocalCMPInventory_53081ec0] [getDescription] [Average Execution Time:0.00121] 
[com/ibm/websphere/samples/plantsbywebsphereejb/ConcreteInventory_53081ec0] [getDescription] [Average Execution Time:0.00005] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [getDescription] [Average Execution Time:0.00002] 
[com/ibm/websphere/samples/plantsbywebsphereejb/EJSLocalCMPInventory_53081ec0] [getPkginfo] [Average Execution Time:0.00125] 
[com/ibm/websphere/samples/plantsbywebsphereejb/ConcreteInventory_53081ec0] [getPkginfo] [Average Execution Time:0.00005] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [getPkginfo] [Average Execution Time:0.00002] 
[com/ibm/websphere/samples/plantsbywebsphereejb/EJSLocalCMPInventory_53081ec0] [getImage] [Average Execution Time:0.00155] 
[com/ibm/websphere/samples/plantsbywebsphereejb/ConcreteInventory_53081ec0] [getImage] [Average Execution Time:0.00005] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [getImage] [Average Execution Time:0.00002] 
[com/ibm/websphere/samples/plantsbywebsphereejb/EJSLocalCMPInventory_53081ec0] [getPrice] [Average Execution Time:0.00116] 
[com/ibm/websphere/samples/plantsbywebsphereejb/ConcreteInventory_53081ec0] [getPrice] [Average Execution Time:0.00006] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [getPrice] [Average Execution Time:0.00003] 
[com/ibm/websphere/samples/plantsbywebsphereejb/EJSLocalCMPInventory_53081ec0] [getCost] [Average Execution Time:0.00121] 
[com/ibm/websphere/samples/plantsbywebsphereejb/ConcreteInventory_53081ec0] [getCost] [Average Execution Time:0.00005] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [getCost] [Average Execution Time:0.00002] 
[com/ibm/websphere/samples/plantsbywebsphereejb/EJSLocalCMPInventory_53081ec0] [getCategory] [Average Execution Time:0.00114] 
[com/ibm/websphere/samples/plantsbywebsphereejb/ConcreteInventory_53081ec0] [getCategory] [Average Execution Time:0.00005] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [getCategory] [Average Execution Time:0.00002] 
[com/ibm/websphere/samples/plantsbywebsphereejb/EJSLocalCMPInventory_53081ec0] [getQuantity] [Average Execution Time:0.00122] 
[com/ibm/websphere/samples/plantsbywebsphereejb/ConcreteInventory_53081ec0] [getQuantity] [Average Execution Time:0.00005] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [getQuantity] [Average Execution Time:0.00002] 
[com/ibm/websphere/samples/plantsbywebsphereejb/EJSLocalCMPInventory_53081ec0] [getNotes] [Average Execution Time:0.00115] 
[com/ibm/websphere/samples/plantsbywebsphereejb/ConcreteInventory_53081ec0] [getNotes] [Average Execution Time:0.00005] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [getNotes] [Average Execution Time:0.00002] 
[com/ibm/websphere/samples/plantsbywebsphereejb/EJSLocalCMPInventory_53081ec0] [isPublic] [Average Execution Time:0.00124] 
[com/ibm/websphere/samples/plantsbywebsphereejb/InventoryBean] [isPublic] [Average Execution Time:0.00008] 
[com/ibm/websphere/samples/plantsbywebsphereejb/ConcreteInventory_53081ec0] [getIsPublic] [Average Execution Time:0.00006] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [getIsPublic] [Average Execution Time:0.00002] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanExtractor_53081ec0] [extractPrimaryKey] [Average Execution Time:0.00011] 
[com/ibm/websphere/samples/plantsbywebsphereejb/InventoryKey] [-init-] [Average Execution Time:0.00002] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanExtractor_53081ec0] [extractData] [Average Execution Time:0.3042] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanExtractor_53081ec0] [createDataCacheEntry] [Average Execution Time:0.00006] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [-init-] [Average Execution Time:0.00003] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [setDataForINVENTORYID] [Average Execution Time:0.00002] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [setDataForNAME] [Average Execution Time:0.00002] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [setDataForHEADING] [Average Execution Time:0.00002] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [setDataForDESCRIPTION] [Average Execution Time:0.00002] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [setDataForPKGINFO] [Average Execution Time:0.00002] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [setDataForIMAGE] [Average Execution Time:0.00002] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [setDataForIMGBYTES] [Average Execution Time:0.00003] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [setDataForPRICE] [Average Execution Time:0.00002] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [setDataForCOST] [Average Execution Time:0.00001] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [setDataForCATEGORY] [Average Execution Time:0.00001] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [setDataForQUANTITY] [Average Execution Time:0.00001] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [setDataForNOTES] [Average Execution Time:0.00002] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [setDataForISPUBLIC] [Average Execution Time:0.00002] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [setDataForMINTHRESHOLD] [Average Execution Time:0.00002] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [setDataForMAXTHRESHOLD] [Average Execution Time:0.00001] 
[com/ibm/websphere/samples/plantsbywebsphereejb/InventoryKey] [hashCode] [Average Execution Time:0.00003] 
[com/ibm/websphere/samples/plantsbywebsphereejb/InventoryKey] [equals] [Average Execution Time:0.00004] 
[com/ibm/websphere/samples/plantsbywebsphereejb/ConcreteInventory_53081ec0] [ejbActivate] [Average Execution Time:0.00007] 
[com/ibm/websphere/samples/plantsbywebsphereejb/InventoryBean] [ejbActivate] [Average Execution Time:0.00002] 
[com/ibm/websphere/samples/plantsbywebsphereejb/ConcreteInventory_53081ec0] [ejbLoad] [Average Execution Time:0.00038] 
[com/ibm/websphere/samples/plantsbywebsphereejb/InventoryKey] [equals] [Average Execution Time:0.00002] 
[com/ibm/websphere/samples/plantsbywebsphereejb/InventoryKey] [equals] [Average Execution Time:0.00002] 
[com/ibm/websphere/samples/plantsbywebsphereejb/ConcreteInventory_53081ec0] [hydrate] [Average Execution Time:0.00005] 
[com/ibm/websphere/samples/plantsbywebsphereejb/InventoryBean] [ejbLoad] [Average Execution Time:0.00002] 
[com/ibm/websphere/samples/plantsbywebsphereejb/StoreItem] [-init-] [Average Execution Time:0.01301] 
[com/ibm/websphere/samples/plantsbywebsphereejb/EJSLocalCMPInventory_53081ec0] [getID] [Average Execution Time:0.00124] 
[com/ibm/websphere/samples/plantsbywebsphereejb/InventoryBean] [getID] [Average Execution Time:0.00006] 
[com/ibm/websphere/samples/plantsbywebsphereejb/ConcreteInventory_53081ec0] [getInventoryID] [Average Execution Time:0.00004] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [getInventoryID] [Average Execution Time:0.00002] 
[com/ibm/websphere/samples/plantsbywebsphereejb/EJSLocalCMPInventory_53081ec0] [getName] [Average Execution Time:0.00105] 
[com/ibm/websphere/samples/plantsbywebsphereejb/ConcreteInventory_53081ec0] [getName] [Average Execution Time:0.00004] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [getName] [Average Execution Time:0.00001] 
[com/ibm/websphere/samples/plantsbywebsphereejb/EJSLocalCMPInventory_53081ec0] [getHeading] [Average Execution Time:0.00109] 
[com/ibm/websphere/samples/plantsbywebsphereejb/ConcreteInventory_53081ec0] [getHeading] [Average Execution Time:0.00004] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [getHeading] [Average Execution Time:0.00002] 
[com/ibm/websphere/samples/plantsbywebsphereejb/EJSLocalCMPInventory_53081ec0] [getDescription] [Average Execution Time:0.00104] 
[com/ibm/websphere/samples/plantsbywebsphereejb/ConcreteInventory_53081ec0] [getDescription] [Average Execution Time:0.00004] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [getDescription] [Average Execution Time:0.00001] 
[com/ibm/websphere/samples/plantsbywebsphereejb/EJSLocalCMPInventory_53081ec0] [getPkginfo] [Average Execution Time:0.00104] 
[com/ibm/websphere/samples/plantsbywebsphereejb/ConcreteInventory_53081ec0] [getPkginfo] [Average Execution Time:0.00004] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [getPkginfo] [Average Execution Time:0.00001] 
[com/ibm/websphere/samples/plantsbywebsphereejb/EJSLocalCMPInventory_53081ec0] [getImage] [Average Execution Time:0.00107] 
[com/ibm/websphere/samples/plantsbywebsphereejb/ConcreteInventory_53081ec0] [getImage] [Average Execution Time:0.00004] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [getImage] [Average Execution Time:0.00001] 
[com/ibm/websphere/samples/plantsbywebsphereejb/EJSLocalCMPInventory_53081ec0] [getPrice] [Average Execution Time:0.00105] 
[com/ibm/websphere/samples/plantsbywebsphereejb/ConcreteInventory_53081ec0] [getPrice] [Average Execution Time:0.00004] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [getPrice] [Average Execution Time:0.00001] 
[com/ibm/websphere/samples/plantsbywebsphereejb/EJSLocalCMPInventory_53081ec0] [getCost] [Average Execution Time:0.00105] 
[com/ibm/websphere/samples/plantsbywebsphereejb/ConcreteInventory_53081ec0] [getCost] [Average Execution Time:0.00004] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [getCost] [Average Execution Time:0.00001] 
[com/ibm/websphere/samples/plantsbywebsphereejb/EJSLocalCMPInventory_53081ec0] [getCategory] [Average Execution Time:0.00105] 
[com/ibm/websphere/samples/plantsbywebsphereejb/ConcreteInventory_53081ec0] [getCategory] [Average Execution Time:0.00004] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [getCategory] [Average Execution Time:0.00002] 
[com/ibm/websphere/samples/plantsbywebsphereejb/EJSLocalCMPInventory_53081ec0] [getQuantity] [Average Execution Time:0.00105] 
[com/ibm/websphere/samples/plantsbywebsphereejb/ConcreteInventory_53081ec0] [getQuantity] [Average Execution Time:0.00004] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [getQuantity] [Average Execution Time:0.00002] 
[com/ibm/websphere/samples/plantsbywebsphereejb/EJSLocalCMPInventory_53081ec0] [getNotes] [Average Execution Time:0.00104] 
[com/ibm/websphere/samples/plantsbywebsphereejb/ConcreteInventory_53081ec0] [getNotes] [Average Execution Time:0.00004] 
[com/ibm/websphere/samples/plantsbywebsphereejb/websphere_deploy/DERBY_V100_1/InventoryBeanCacheEntryImpl_53081ec0] [getNotes] [Average Execution Time:0.00001] 
[com/ibm/websphere/samples/plantsbywebsphereejb/EJSLocalCMPInventory_53081ec0] [isPublic] [Average Execution Time:0.00109] 
[com/ibm/websphere/samples/plantsbywebsphereejb/InventoryBean] [isPublic] [Average Execution Time:0.00008] 
[com/ibm/websphere/samples/plantsbywebsphereejb/ConcreteInventory_53081ec0] [getIsPublic] [Average Execution Time:0.00005] 
